21:44:21 INFO    train | config: configs\retriever.yaml + ['name=retriever_b128', 'data.batch_size=128']
21:44:24 INFO    qar.training.trainer | run 'retriever_b128' | device=cuda (NVIDIA GeForce RTX 5060 Laptop GPU, 8.0 GiB, sm_120) amp=bfloat16
21:44:24 INFO    qar.training.trainer | trainable parameters: 45.97M
21:44:24 INFO    qar.tasks.retriever | dedup sampler on: 704201 rows, 638306 distinct questions
21:44:47 INFO    qar.training.trainer | step    100 | loss=4.9182 nce=4.9182 acc=0.0102 grad_norm=3.2347 lr=0.0000 steps_per_s=4.4209 mem/alloc_mib=3183.8511 mem/reserved_mib=3810.0000
21:45:10 INFO    qar.training.trainer | step    200 | loss=4.7848 nce=4.7848 acc=0.0178 grad_norm=1.8320 lr=0.0001 steps_per_s=4.3564 mem/alloc_mib=3183.8511 mem/reserved_mib=3810.0000
21:45:32 INFO    qar.training.trainer | step    300 | loss=4.7022 nce=4.7022 acc=0.0266 grad_norm=2.4393 lr=0.0001 steps_per_s=4.4457 mem/alloc_mib=3183.8511 mem/reserved_mib=3810.0000
21:45:54 INFO    qar.training.trainer | step    400 | loss=4.5857 nce=4.5857 acc=0.0389 grad_norm=3.2748 lr=0.0001 steps_per_s=4.7144 mem/alloc_mib=3183.8511 mem/reserved_mib=3810.0000
21:46:14 INFO    qar.training.trainer | step    500 | loss=4.4695 nce=4.4695 acc=0.0499 grad_norm=4.1050 lr=0.0001 steps_per_s=4.9071 mem/alloc_mib=3183.8511 mem/reserved_mib=3810.0000
21:46:40 INFO    qar.training.trainer | step    600 | loss=4.3276 nce=4.3276 acc=0.0634 grad_norm=4.4801 lr=0.0002 steps_per_s=3.9216 mem/alloc_mib=3183.8511 mem/reserved_mib=3810.0000
21:47:04 INFO    qar.training.trainer | step    700 | loss=4.1991 nce=4.1991 acc=0.0798 grad_norm=4.3679 lr=0.0002 steps_per_s=4.0146 mem/alloc_mib=3183.8511 mem/reserved_mib=3810.0000
21:47:30 INFO    qar.training.trainer | step    800 | loss=4.0807 nce=4.0807 acc=0.0980 grad_norm=4.2676 lr=0.0002 steps_per_s=3.9401 mem/alloc_mib=3183.8511 mem/reserved_mib=3810.0000
21:47:55 INFO    qar.training.trainer | step    900 | loss=3.9151 nce=3.9151 acc=0.1223 grad_norm=4.3895 lr=0.0002 steps_per_s=3.9125 mem/alloc_mib=3183.8511 mem/reserved_mib=3810.0000
21:48:21 INFO    qar.training.trainer | step   1000 | loss=3.8070 nce=3.8070 acc=0.1494 grad_norm=4.4456 lr=0.0003 steps_per_s=3.9065 mem/alloc_mib=3183.8511 mem/reserved_mib=3810.0000
21:48:24 INFO    qar.training.trainer | step   1000 | EVAL val/loss=3.6704 val/mrr=0.2849 val/recall@1=0.1611 val/recall@5=0.3992 val/recall@10=0.5364 val/mean_rank=20.0049
21:48:25 INFO    qar.training.trainer | new best val/recall@1=0.1611
21:48:48 INFO    qar.training.trainer | step   1100 | loss=3.6937 nce=3.6937 acc=0.1652 grad_norm=4.3576 lr=0.0003 steps_per_s=3.7303 mem/alloc_mib=3183.8511 mem/reserved_mib=3810.0000
21:49:06 INFO    qar.training.trainer | step   1200 | loss=3.5714 nce=3.5714 acc=0.1862 grad_norm=4.2136 lr=0.0003 steps_per_s=5.4866 mem/alloc_mib=3183.8511 mem/reserved_mib=3810.0000
21:49:25 INFO    qar.training.trainer | step   1300 | loss=3.4957 nce=3.4957 acc=0.1972 grad_norm=4.1258 lr=0.0003 steps_per_s=5.2918 mem/alloc_mib=3183.8511 mem/reserved_mib=3810.0000
21:49:42 INFO    qar.training.trainer | step   1400 | loss=3.4020 nce=3.4020 acc=0.2203 grad_norm=4.0399 lr=0.0003 steps_per_s=5.7079 mem/alloc_mib=3183.8511 mem/reserved_mib=3810.0000
21:50:00 INFO    qar.training.trainer | step   1500 | loss=3.3339 nce=3.3339 acc=0.2255 grad_norm=3.9891 lr=0.0003 steps_per_s=5.5863 mem/alloc_mib=3183.8511 mem/reserved_mib=3810.0000
21:50:18 INFO    qar.training.trainer | step   1600 | loss=3.2303 nce=3.2303 acc=0.2465 grad_norm=3.8965 lr=0.0003 steps_per_s=5.5338 mem/alloc_mib=3183.8511 mem/reserved_mib=3810.0000
21:50:38 INFO    qar.training.trainer | step   1700 | loss=3.1783 nce=3.1783 acc=0.2580 grad_norm=3.8832 lr=0.0003 steps_per_s=5.1494 mem/alloc_mib=3183.8511 mem/reserved_mib=3810.0000
21:50:57 INFO    qar.training.trainer | step   1800 | loss=3.1682 nce=3.1682 acc=0.2641 grad_norm=3.6855 lr=0.0003 steps_per_s=5.1235 mem/alloc_mib=3183.8511 mem/reserved_mib=3810.0000
21:51:17 INFO    qar.training.trainer | step   1900 | loss=3.0954 nce=3.0954 acc=0.2782 grad_norm=3.6948 lr=0.0003 steps_per_s=5.1237 mem/alloc_mib=3183.8511 mem/reserved_mib=3810.0000
21:51:45 INFO    qar.training.trainer | step   2000 | loss=3.0679 nce=3.0679 acc=0.2787 grad_norm=3.5968 lr=0.0003 steps_per_s=3.5868 mem/alloc_mib=3183.8511 mem/reserved_mib=3810.0000
21:51:48 INFO    qar.training.trainer | step   2000 | EVAL val/loss=2.9834 val/mrr=0.4216 val/recall@1=0.2900 val/recall@5=0.5710 val/recall@10=0.6848 val/mean_rank=12.7761
21:51:49 INFO    qar.training.trainer | new best val/recall@1=0.2900
21:52:15 INFO    qar.training.trainer | step   2100 | loss=3.0556 nce=3.0556 acc=0.2816 grad_norm=3.5129 lr=0.0003 steps_per_s=3.3199 mem/alloc_mib=3183.8511 mem/reserved_mib=3810.0000
21:52:32 INFO    qar.training.trainer | step   2200 | loss=2.9698 nce=2.9698 acc=0.2999 grad_norm=3.4934 lr=0.0003 steps_per_s=5.8978 mem/alloc_mib=3183.8511 mem/reserved_mib=3810.0000
21:52:49 INFO    qar.training.trainer | step   2300 | loss=2.9515 nce=2.9515 acc=0.2994 grad_norm=3.4914 lr=0.0003 steps_per_s=5.6645 mem/alloc_mib=3183.8511 mem/reserved_mib=3810.0000
21:53:09 INFO    qar.training.trainer | step   2400 | loss=2.9243 nce=2.9243 acc=0.3096 grad_norm=3.4049 lr=0.0003 steps_per_s=5.0009 mem/alloc_mib=3183.8511 mem/reserved_mib=3810.0000
21:53:30 INFO    qar.training.trainer | step   2500 | loss=2.8942 nce=2.8942 acc=0.3165 grad_norm=3.3993 lr=0.0003 steps_per_s=4.8358 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
21:53:49 INFO    qar.training.trainer | step   2600 | loss=2.8251 nce=2.8251 acc=0.3284 grad_norm=3.3811 lr=0.0003 steps_per_s=5.3464 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
21:54:08 INFO    qar.training.trainer | step   2700 | loss=2.8170 nce=2.8170 acc=0.3261 grad_norm=3.3696 lr=0.0003 steps_per_s=5.1223 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
21:54:27 INFO    qar.training.trainer | step   2800 | loss=2.8350 nce=2.8350 acc=0.3291 grad_norm=3.3493 lr=0.0003 steps_per_s=5.3077 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
21:54:46 INFO    qar.training.trainer | step   2900 | loss=2.7960 nce=2.7960 acc=0.3309 grad_norm=3.2892 lr=0.0003 steps_per_s=5.2721 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
21:55:06 INFO    qar.training.trainer | step   3000 | loss=2.7403 nce=2.7403 acc=0.3444 grad_norm=3.2507 lr=0.0003 steps_per_s=5.1653 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
21:55:08 INFO    qar.training.trainer | step   3000 | EVAL val/loss=2.6655 val/mrr=0.4895 val/recall@1=0.3567 val/recall@5=0.6360 val/recall@10=0.7417 val/mean_rank=10.6699
21:55:08 INFO    qar.training.trainer | new best val/recall@1=0.3567
21:55:27 INFO    qar.training.trainer | step   3100 | loss=2.7282 nce=2.7282 acc=0.3524 grad_norm=3.1937 lr=0.0003 steps_per_s=4.5731 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
21:55:48 INFO    qar.training.trainer | step   3200 | loss=2.6723 nce=2.6723 acc=0.3552 grad_norm=3.1988 lr=0.0003 steps_per_s=4.9382 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
21:56:07 INFO    qar.training.trainer | step   3300 | loss=2.6552 nce=2.6552 acc=0.3683 grad_norm=3.2414 lr=0.0003 steps_per_s=5.2725 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
21:56:26 INFO    qar.training.trainer | step   3400 | loss=2.6178 nce=2.6178 acc=0.3595 grad_norm=3.2234 lr=0.0003 steps_per_s=5.2089 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
21:56:45 INFO    qar.training.trainer | step   3500 | loss=2.6444 nce=2.6444 acc=0.3629 grad_norm=3.1059 lr=0.0003 steps_per_s=5.1972 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
21:57:04 INFO    qar.training.trainer | step   3600 | loss=2.6030 nce=2.6030 acc=0.3645 grad_norm=3.1286 lr=0.0003 steps_per_s=5.2125 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
21:57:23 INFO    qar.training.trainer | step   3700 | loss=2.6007 nce=2.6007 acc=0.3754 grad_norm=3.1249 lr=0.0003 steps_per_s=5.2281 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
21:57:42 INFO    qar.training.trainer | step   3800 | loss=2.5828 nce=2.5828 acc=0.3755 grad_norm=3.1062 lr=0.0003 steps_per_s=5.3474 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
21:58:01 INFO    qar.training.trainer | step   3900 | loss=2.5839 nce=2.5839 acc=0.3773 grad_norm=3.0540 lr=0.0003 steps_per_s=5.3049 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
21:58:20 INFO    qar.training.trainer | step   4000 | loss=2.5350 nce=2.5350 acc=0.3826 grad_norm=3.0218 lr=0.0003 steps_per_s=5.2404 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
21:58:22 INFO    qar.training.trainer | step   4000 | EVAL val/loss=2.5034 val/mrr=0.5194 val/recall@1=0.3896 val/recall@5=0.6721 val/recall@10=0.7781 val/mean_rank=9.4485
21:58:23 INFO    qar.training.trainer | new best val/recall@1=0.3896
21:58:43 INFO    qar.training.trainer | step   4100 | loss=2.5326 nce=2.5326 acc=0.3896 grad_norm=3.0198 lr=0.0003 steps_per_s=4.3969 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
21:59:02 INFO    qar.training.trainer | step   4200 | loss=2.5319 nce=2.5319 acc=0.3841 grad_norm=3.0055 lr=0.0003 steps_per_s=5.2774 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
21:59:20 INFO    qar.training.trainer | step   4300 | loss=2.5143 nce=2.5143 acc=0.3860 grad_norm=3.0040 lr=0.0003 steps_per_s=5.4649 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
21:59:40 INFO    qar.training.trainer | step   4400 | loss=2.5187 nce=2.5187 acc=0.3893 grad_norm=2.9919 lr=0.0003 steps_per_s=5.0048 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:00:06 INFO    qar.training.trainer | step   4500 | loss=2.5173 nce=2.5173 acc=0.3930 grad_norm=2.9680 lr=0.0003 steps_per_s=3.8141 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:00:26 INFO    qar.training.trainer | step   4600 | loss=2.4647 nce=2.4647 acc=0.4017 grad_norm=2.9516 lr=0.0003 steps_per_s=5.1372 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:00:45 INFO    qar.training.trainer | step   4700 | loss=2.4592 nce=2.4592 acc=0.3980 grad_norm=2.9509 lr=0.0003 steps_per_s=5.2544 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:01:04 INFO    qar.training.trainer | step   4800 | loss=2.4926 nce=2.4926 acc=0.3956 grad_norm=2.9010 lr=0.0003 steps_per_s=5.2816 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:01:23 INFO    qar.training.trainer | step   4900 | loss=2.4535 nce=2.4535 acc=0.3984 grad_norm=2.9041 lr=0.0003 steps_per_s=5.2409 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:01:40 INFO    qar.training.trainer | step   5000 | loss=2.4241 nce=2.4241 acc=0.4073 grad_norm=2.8948 lr=0.0003 steps_per_s=5.7798 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:01:42 INFO    qar.training.trainer | step   5000 | EVAL val/loss=2.3629 val/mrr=0.5484 val/recall@1=0.4185 val/recall@5=0.7000 val/recall@10=0.7998 val/mean_rank=8.6265
22:01:43 INFO    qar.training.trainer | new best val/recall@1=0.4185
22:02:00 INFO    qar.training.trainer | step   5100 | loss=2.4273 nce=2.4273 acc=0.4037 grad_norm=2.8558 lr=0.0003 steps_per_s=4.9738 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:02:17 INFO    qar.training.trainer | step   5200 | loss=2.3926 nce=2.3926 acc=0.4173 grad_norm=2.8927 lr=0.0003 steps_per_s=5.8486 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:02:34 INFO    qar.training.trainer | step   5300 | loss=2.3987 nce=2.3987 acc=0.4120 grad_norm=2.8585 lr=0.0003 steps_per_s=5.8216 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:02:52 INFO    qar.training.trainer | step   5400 | loss=2.4132 nce=2.4132 acc=0.4120 grad_norm=2.8340 lr=0.0003 steps_per_s=5.8161 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:03:10 INFO    qar.training.trainer | step   5500 | loss=2.3870 nce=2.3870 acc=0.4151 grad_norm=2.8288 lr=0.0003 steps_per_s=5.4050 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:03:27 INFO    qar.training.trainer | step   5600 | loss=2.1627 nce=2.1627 acc=0.4569 grad_norm=2.9862 lr=0.0003 steps_per_s=5.8052 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:03:46 INFO    qar.training.trainer | step   5700 | loss=2.1114 nce=2.1114 acc=0.4680 grad_norm=3.0406 lr=0.0003 steps_per_s=5.3097 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:04:05 INFO    qar.training.trainer | step   5800 | loss=2.1590 nce=2.1590 acc=0.4575 grad_norm=3.0119 lr=0.0003 steps_per_s=5.2903 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:04:24 INFO    qar.training.trainer | step   5900 | loss=2.1314 nce=2.1314 acc=0.4691 grad_norm=3.0416 lr=0.0003 steps_per_s=5.3005 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:04:42 INFO    qar.training.trainer | step   6000 | loss=2.1338 nce=2.1338 acc=0.4624 grad_norm=3.0225 lr=0.0003 steps_per_s=5.4446 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:04:44 INFO    qar.training.trainer | step   6000 | EVAL val/loss=2.3437 val/mrr=0.5583 val/recall@1=0.4336 val/recall@5=0.7041 val/recall@10=0.8025 val/mean_rank=8.3789
