01:11:03 INFO    train | config: configs\retriever.yaml + ['name=retriever_b128_hn1', 'data.batch_size=128', 'loss.hard_negatives=1', 'train.max_steps=20000']
01:11:08 INFO    qar.training.trainer | run 'retriever_b128_hn1' | device=cuda (NVIDIA GeForce RTX 5060 Laptop GPU, 8.0 GiB, sm_120) amp=bfloat16
01:11:08 INFO    qar.training.trainer | trainable parameters: 45.97M
01:11:08 INFO    qar.tasks.retriever | dedup sampler on: 704201 rows, 638306 distinct questions
01:11:33 INFO    qar.training.trainer | step    100 | loss=4.9222 nce=4.9222 acc=0.0105 grad_norm=3.2255 lr=0.0000 steps_per_s=3.9663 mem/alloc_mib=4553.0298 mem/reserved_mib=5470.0000
01:11:58 INFO    qar.training.trainer | step    200 | loss=4.7950 nce=4.7950 acc=0.0166 grad_norm=1.7530 lr=0.0001 steps_per_s=4.1141 mem/alloc_mib=4765.5044 mem/reserved_mib=5998.0000
01:12:22 INFO    qar.training.trainer | step    300 | loss=4.7135 nce=4.7135 acc=0.0263 grad_norm=2.3729 lr=0.0001 steps_per_s=4.1095 mem/alloc_mib=4765.5044 mem/reserved_mib=5998.0000
01:12:46 INFO    qar.training.trainer | step    400 | loss=4.5997 nce=4.5997 acc=0.0360 grad_norm=3.2072 lr=0.0001 steps_per_s=4.1214 mem/alloc_mib=4765.5044 mem/reserved_mib=5998.0000
01:13:11 INFO    qar.training.trainer | step    500 | loss=4.4919 nce=4.4919 acc=0.0470 grad_norm=4.1033 lr=0.0001 steps_per_s=4.0990 mem/alloc_mib=4765.5044 mem/reserved_mib=5998.0000
01:13:35 INFO    qar.training.trainer | step    600 | loss=4.3500 nce=4.3500 acc=0.0580 grad_norm=4.2898 lr=0.0002 steps_per_s=4.1299 mem/alloc_mib=4765.5044 mem/reserved_mib=5998.0000
01:13:59 INFO    qar.training.trainer | step    700 | loss=4.2339 nce=4.2339 acc=0.0710 grad_norm=4.2769 lr=0.0002 steps_per_s=4.1274 mem/alloc_mib=4765.5044 mem/reserved_mib=5998.0000
01:14:23 INFO    qar.training.trainer | step    800 | loss=4.1314 nce=4.1314 acc=0.0862 grad_norm=4.2190 lr=0.0002 steps_per_s=4.1675 mem/alloc_mib=4765.5044 mem/reserved_mib=5998.0000
01:14:47 INFO    qar.training.trainer | step    900 | loss=3.9767 nce=3.9767 acc=0.0996 grad_norm=4.1386 lr=0.0002 steps_per_s=4.1916 mem/alloc_mib=4765.5044 mem/reserved_mib=5998.0000
01:15:11 INFO    qar.training.trainer | step   1000 | loss=3.8829 nce=3.8829 acc=0.1153 grad_norm=4.2111 lr=0.0003 steps_per_s=4.1946 mem/alloc_mib=4765.5044 mem/reserved_mib=5998.0000
01:15:13 INFO    qar.training.trainer | step   1000 | EVAL val/loss=3.7538 val/mrr=0.2539 val/recall@1=0.1270 val/recall@5=0.3777 val/recall@10=0.5164 val/mean_rank=21.0063
01:15:14 INFO    qar.training.trainer | new best val/recall@1=0.1270
01:15:38 INFO    qar.training.trainer | step   1100 | loss=3.7739 nce=3.7739 acc=0.1336 grad_norm=4.0930 lr=0.0003 steps_per_s=3.6770 mem/alloc_mib=4765.5044 mem/reserved_mib=5998.0000
01:16:02 INFO    qar.training.trainer | step   1200 | loss=3.6695 nce=3.6695 acc=0.1495 grad_norm=3.9992 lr=0.0003 steps_per_s=4.2225 mem/alloc_mib=4765.5044 mem/reserved_mib=5998.0000
01:16:25 INFO    qar.training.trainer | step   1300 | loss=3.5972 nce=3.5972 acc=0.1585 grad_norm=3.8405 lr=0.0003 steps_per_s=4.2441 mem/alloc_mib=4765.5044 mem/reserved_mib=5998.0000
01:16:49 INFO    qar.training.trainer | step   1400 | loss=3.5046 nce=3.5046 acc=0.1692 grad_norm=3.7819 lr=0.0003 steps_per_s=4.2697 mem/alloc_mib=4765.5044 mem/reserved_mib=5998.0000
01:17:12 INFO    qar.training.trainer | step   1500 | loss=3.4650 nce=3.4650 acc=0.1758 grad_norm=3.6752 lr=0.0003 steps_per_s=4.2701 mem/alloc_mib=4765.5044 mem/reserved_mib=5998.0000
01:17:35 INFO    qar.training.trainer | step   1600 | loss=3.3620 nce=3.3620 acc=0.1852 grad_norm=3.6492 lr=0.0003 steps_per_s=4.2834 mem/alloc_mib=4765.5044 mem/reserved_mib=5998.0000
01:17:59 INFO    qar.training.trainer | step   1700 | loss=3.3308 nce=3.3308 acc=0.1948 grad_norm=3.5326 lr=0.0003 steps_per_s=4.3114 mem/alloc_mib=4765.5044 mem/reserved_mib=5998.0000
01:18:22 INFO    qar.training.trainer | step   1800 | loss=3.3133 nce=3.3133 acc=0.1949 grad_norm=3.3925 lr=0.0003 steps_per_s=4.3019 mem/alloc_mib=4765.5044 mem/reserved_mib=5998.0000
01:18:45 INFO    qar.training.trainer | step   1900 | loss=3.2445 nce=3.2445 acc=0.2116 grad_norm=3.3498 lr=0.0003 steps_per_s=4.3132 mem/alloc_mib=4765.5044 mem/reserved_mib=5998.0000
01:19:09 INFO    qar.training.trainer | step   2000 | loss=3.2255 nce=3.2255 acc=0.2159 grad_norm=3.3101 lr=0.0003 steps_per_s=4.2491 mem/alloc_mib=4765.5044 mem/reserved_mib=5998.0000
01:19:12 INFO    qar.training.trainer | step   2000 | EVAL val/loss=3.1446 val/mrr=0.3713 val/recall@1=0.2200 val/recall@5=0.5381 val/recall@10=0.6687 val/mean_rank=13.5642
01:19:13 INFO    qar.training.trainer | new best val/recall@1=0.2200
01:19:39 INFO    qar.training.trainer | step   2100 | loss=3.2258 nce=3.2258 acc=0.2043 grad_norm=3.2191 lr=0.0003 steps_per_s=3.3243 mem/alloc_mib=4765.5044 mem/reserved_mib=5998.0000
01:20:02 INFO    qar.training.trainer | step   2200 | loss=3.1419 nce=3.1419 acc=0.2276 grad_norm=3.1790 lr=0.0003 steps_per_s=4.2224 mem/alloc_mib=4765.5044 mem/reserved_mib=6000.0000
01:20:26 INFO    qar.training.trainer | step   2300 | loss=3.1336 nce=3.1336 acc=0.2264 grad_norm=3.1632 lr=0.0003 steps_per_s=4.2113 mem/alloc_mib=4765.5044 mem/reserved_mib=6000.0000
01:20:50 INFO    qar.training.trainer | step   2400 | loss=3.1071 nce=3.1071 acc=0.2317 grad_norm=3.1072 lr=0.0003 steps_per_s=4.1917 mem/alloc_mib=4765.5044 mem/reserved_mib=6000.0000
01:21:14 INFO    qar.training.trainer | step   2500 | loss=3.0853 nce=3.0853 acc=0.2327 grad_norm=3.0791 lr=0.0003 steps_per_s=4.2241 mem/alloc_mib=4765.5044 mem/reserved_mib=6000.0000
01:21:37 INFO    qar.training.trainer | step   2600 | loss=3.0215 nce=3.0215 acc=0.2436 grad_norm=3.0397 lr=0.0003 steps_per_s=4.2972 mem/alloc_mib=4765.5044 mem/reserved_mib=6000.0000
01:22:00 INFO    qar.training.trainer | step   2700 | loss=3.0235 nce=3.0235 acc=0.2409 grad_norm=3.0877 lr=0.0003 steps_per_s=4.2707 mem/alloc_mib=4765.5044 mem/reserved_mib=6000.0000
01:22:24 INFO    qar.training.trainer | step   2800 | loss=3.0411 nce=3.0411 acc=0.2393 grad_norm=3.0251 lr=0.0003 steps_per_s=4.2388 mem/alloc_mib=4765.5044 mem/reserved_mib=6000.0000
01:22:47 INFO    qar.training.trainer | step   2900 | loss=3.0047 nce=3.0047 acc=0.2458 grad_norm=2.9621 lr=0.0003 steps_per_s=4.3242 mem/alloc_mib=4765.5044 mem/reserved_mib=6000.0000
01:23:10 INFO    qar.training.trainer | step   3000 | loss=2.9528 nce=2.9528 acc=0.2598 grad_norm=2.9349 lr=0.0003 steps_per_s=4.3221 mem/alloc_mib=4778.5024 mem/reserved_mib=6000.0000
01:23:13 INFO    qar.training.trainer | step   3000 | EVAL val/loss=2.9006 val/mrr=0.4178 val/recall@1=0.2576 val/recall@5=0.6064 val/recall@10=0.7261 val/mean_rank=11.5200
01:23:14 INFO    qar.training.trainer | new best val/recall@1=0.2576
01:23:37 INFO    qar.training.trainer | step   3100 | loss=2.9378 nce=2.9378 acc=0.2561 grad_norm=2.9089 lr=0.0003 steps_per_s=3.7631 mem/alloc_mib=4778.5024 mem/reserved_mib=6000.0000
01:24:00 INFO    qar.training.trainer | step   3200 | loss=2.8995 nce=2.8995 acc=0.2581 grad_norm=2.9002 lr=0.0003 steps_per_s=4.3667 mem/alloc_mib=4778.5024 mem/reserved_mib=6000.0000
01:24:23 INFO    qar.training.trainer | step   3300 | loss=2.8802 nce=2.8802 acc=0.2690 grad_norm=2.9371 lr=0.0003 steps_per_s=4.3417 mem/alloc_mib=4778.5024 mem/reserved_mib=6000.0000
01:24:45 INFO    qar.training.trainer | step   3400 | loss=2.8586 nce=2.8586 acc=0.2603 grad_norm=2.8979 lr=0.0003 steps_per_s=4.3739 mem/alloc_mib=4778.5024 mem/reserved_mib=6000.0000
01:25:08 INFO    qar.training.trainer | step   3500 | loss=2.8729 nce=2.8729 acc=0.2642 grad_norm=2.8373 lr=0.0003 steps_per_s=4.4671 mem/alloc_mib=4778.5024 mem/reserved_mib=6000.0000
01:25:30 INFO    qar.training.trainer | step   3600 | loss=2.8493 nce=2.8493 acc=0.2676 grad_norm=2.7896 lr=0.0003 steps_per_s=4.4234 mem/alloc_mib=4778.5024 mem/reserved_mib=6000.0000
01:25:53 INFO    qar.training.trainer | step   3700 | loss=2.8471 nce=2.8471 acc=0.2685 grad_norm=2.8082 lr=0.0003 steps_per_s=4.4092 mem/alloc_mib=4778.5024 mem/reserved_mib=6000.0000
01:26:16 INFO    qar.training.trainer | step   3800 | loss=2.8245 nce=2.8245 acc=0.2716 grad_norm=2.8004 lr=0.0003 steps_per_s=4.3862 mem/alloc_mib=4778.5024 mem/reserved_mib=6000.0000
01:26:38 INFO    qar.training.trainer | step   3900 | loss=2.8209 nce=2.8209 acc=0.2782 grad_norm=2.7498 lr=0.0003 steps_per_s=4.5184 mem/alloc_mib=4778.5024 mem/reserved_mib=6000.0000
01:27:01 INFO    qar.training.trainer | step   4000 | loss=2.7904 nce=2.7904 acc=0.2777 grad_norm=2.7312 lr=0.0003 steps_per_s=4.3665 mem/alloc_mib=4778.5024 mem/reserved_mib=6000.0000
01:27:04 INFO    qar.training.trainer | step   4000 | EVAL val/loss=2.7576 val/mrr=0.4461 val/recall@1=0.2808 val/recall@5=0.6433 val/recall@10=0.7581 val/mean_rank=10.3147
01:27:04 INFO    qar.training.trainer | new best val/recall@1=0.2808
01:27:27 INFO    qar.training.trainer | step   4100 | loss=2.7706 nce=2.7706 acc=0.2823 grad_norm=2.7264 lr=0.0003 steps_per_s=3.7729 mem/alloc_mib=4778.5024 mem/reserved_mib=6000.0000
01:27:50 INFO    qar.training.trainer | step   4200 | loss=2.7826 nce=2.7826 acc=0.2745 grad_norm=2.6842 lr=0.0003 steps_per_s=4.4535 mem/alloc_mib=4796.4233 mem/reserved_mib=6000.0000
01:28:12 INFO    qar.training.trainer | step   4300 | loss=2.7614 nce=2.7614 acc=0.2823 grad_norm=2.6795 lr=0.0003 steps_per_s=4.4737 mem/alloc_mib=4796.4233 mem/reserved_mib=6000.0000
01:28:35 INFO    qar.training.trainer | step   4400 | loss=2.7736 nce=2.7736 acc=0.2848 grad_norm=2.6942 lr=0.0003 steps_per_s=4.4974 mem/alloc_mib=4796.4233 mem/reserved_mib=6000.0000
01:28:57 INFO    qar.training.trainer | step   4500 | loss=2.7628 nce=2.7628 acc=0.2848 grad_norm=2.6614 lr=0.0003 steps_per_s=4.5095 mem/alloc_mib=4796.4233 mem/reserved_mib=6000.0000
01:29:19 INFO    qar.training.trainer | step   4600 | loss=2.7245 nce=2.7245 acc=0.2936 grad_norm=2.6399 lr=0.0003 steps_per_s=4.5007 mem/alloc_mib=4796.4233 mem/reserved_mib=6000.0000
01:29:41 INFO    qar.training.trainer | step   4700 | loss=2.7133 nce=2.7133 acc=0.2954 grad_norm=2.6401 lr=0.0003 steps_per_s=4.5331 mem/alloc_mib=4796.4233 mem/reserved_mib=6000.0000
01:30:03 INFO    qar.training.trainer | step   4800 | loss=2.7449 nce=2.7449 acc=0.2848 grad_norm=2.6188 lr=0.0003 steps_per_s=4.5234 mem/alloc_mib=4796.4233 mem/reserved_mib=6000.0000
01:30:26 INFO    qar.training.trainer | step   4900 | loss=2.7030 nce=2.7030 acc=0.2893 grad_norm=2.5979 lr=0.0003 steps_per_s=4.4430 mem/alloc_mib=4796.4233 mem/reserved_mib=6000.0000
01:30:48 INFO    qar.training.trainer | step   5000 | loss=2.6955 nce=2.6955 acc=0.2938 grad_norm=2.5971 lr=0.0003 steps_per_s=4.4085 mem/alloc_mib=4796.4233 mem/reserved_mib=6000.0000
01:30:51 INFO    qar.training.trainer | step   5000 | EVAL val/loss=2.6456 val/mrr=0.4656 val/recall@1=0.2983 val/recall@5=0.6682 val/recall@10=0.7849 val/mean_rank=9.5674
01:30:52 INFO    qar.training.trainer | new best val/recall@1=0.2983
01:31:15 INFO    qar.training.trainer | step   5100 | loss=2.6941 nce=2.6941 acc=0.2942 grad_norm=2.5513 lr=0.0003 steps_per_s=3.7814 mem/alloc_mib=4796.4233 mem/reserved_mib=6000.0000
01:31:37 INFO    qar.training.trainer | step   5200 | loss=2.6702 nce=2.6702 acc=0.3016 grad_norm=2.5790 lr=0.0003 steps_per_s=4.4325 mem/alloc_mib=4796.4233 mem/reserved_mib=6000.0000
01:32:00 INFO    qar.training.trainer | step   5300 | loss=2.6611 nce=2.6611 acc=0.2955 grad_norm=2.5483 lr=0.0003 steps_per_s=4.4321 mem/alloc_mib=4796.4233 mem/reserved_mib=6000.0000
01:32:22 INFO    qar.training.trainer | step   5400 | loss=2.6822 nce=2.6822 acc=0.2940 grad_norm=2.5355 lr=0.0003 steps_per_s=4.4643 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:32:45 INFO    qar.training.trainer | step   5500 | loss=2.6652 nce=2.6652 acc=0.2991 grad_norm=2.5355 lr=0.0003 steps_per_s=4.4249 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:33:07 INFO    qar.training.trainer | step   5600 | loss=2.4455 nce=2.4455 acc=0.3402 grad_norm=2.6920 lr=0.0003 steps_per_s=4.4564 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:33:30 INFO    qar.training.trainer | step   5700 | loss=2.4090 nce=2.4090 acc=0.3534 grad_norm=2.7555 lr=0.0003 steps_per_s=4.4746 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:33:52 INFO    qar.training.trainer | step   5800 | loss=2.4290 nce=2.4290 acc=0.3427 grad_norm=2.7401 lr=0.0003 steps_per_s=4.5408 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:34:14 INFO    qar.training.trainer | step   5900 | loss=2.4244 nce=2.4244 acc=0.3510 grad_norm=2.7632 lr=0.0003 steps_per_s=4.5653 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:34:36 INFO    qar.training.trainer | step   6000 | loss=2.4302 nce=2.4302 acc=0.3422 grad_norm=2.7437 lr=0.0003 steps_per_s=4.5251 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:34:38 INFO    qar.training.trainer | step   6000 | EVAL val/loss=2.6191 val/mrr=0.4743 val/recall@1=0.3064 val/recall@5=0.6741 val/recall@10=0.7817 val/mean_rank=9.2581
