19:09:27 INFO    train | config: configs\retriever.yaml + ['name=retriever_hn2_12k', 'data.batch_size=128', 'loss.hard_negatives=2', 'loss.answerable_weight=0.0', 'train.max_steps=12000']
19:09:33 INFO    qar.training.trainer | run 'retriever_hn2_12k' | device=cuda (NVIDIA GeForce RTX 5060 Laptop GPU, 8.0 GiB, sm_120) amp=bfloat16
19:09:33 INFO    qar.training.trainer | trainable parameters: 45.97M
19:09:34 INFO    qar.tasks.retriever | dedup sampler on: 704201 rows, 638306 distinct questions
19:10:13 INFO    qar.training.trainer | step    100 | loss=4.9083 nce=4.9083 acc=0.0106 grad_norm=2.7947 lr=0.0000 steps_per_s=2.6002 mem/alloc_mib=6425.4370 mem/reserved_mib=7754.0000
19:11:02 INFO    qar.training.trainer | step    200 | loss=4.7753 nce=4.7753 acc=0.0209 grad_norm=1.9014 lr=0.0001 steps_per_s=2.0044 mem/alloc_mib=6425.4370 mem/reserved_mib=7754.0000
19:11:55 INFO    qar.training.trainer | step    300 | loss=4.6701 nce=4.6701 acc=0.0306 grad_norm=2.6741 lr=0.0001 steps_per_s=1.8984 mem/alloc_mib=6425.4370 mem/reserved_mib=7754.0000
19:12:46 INFO    qar.training.trainer | step    400 | loss=4.5212 nce=4.5212 acc=0.0423 grad_norm=3.5798 lr=0.0002 steps_per_s=1.9758 mem/alloc_mib=6425.4370 mem/reserved_mib=7754.0000
19:13:38 INFO    qar.training.trainer | step    500 | loss=4.4070 nce=4.4070 acc=0.0498 grad_norm=3.9491 lr=0.0002 steps_per_s=1.9154 mem/alloc_mib=6449.1396 mem/reserved_mib=7754.0000
19:14:32 INFO    qar.training.trainer | step    600 | loss=4.2643 nce=4.2643 acc=0.0656 grad_norm=3.7623 lr=0.0003 steps_per_s=1.8438 mem/alloc_mib=6449.1396 mem/reserved_mib=7754.0000
19:15:24 INFO    qar.training.trainer | step    700 | loss=4.1394 nce=4.1394 acc=0.0759 grad_norm=3.5570 lr=0.0003 steps_per_s=1.9484 mem/alloc_mib=6449.1396 mem/reserved_mib=7754.0000
19:16:15 INFO    qar.training.trainer | step    800 | loss=4.0312 nce=4.0312 acc=0.0911 grad_norm=3.4753 lr=0.0003 steps_per_s=1.9562 mem/alloc_mib=6449.1396 mem/reserved_mib=7754.0000
19:17:06 INFO    qar.training.trainer | step    900 | loss=3.8925 nce=3.8925 acc=0.1046 grad_norm=3.3627 lr=0.0003 steps_per_s=1.9408 mem/alloc_mib=6449.1396 mem/reserved_mib=7754.0000
19:17:56 INFO    qar.training.trainer | step   1000 | loss=3.8122 nce=3.8122 acc=0.1140 grad_norm=3.3194 lr=0.0003 steps_per_s=2.0140 mem/alloc_mib=6449.1396 mem/reserved_mib=7754.0000
19:18:00 INFO    qar.training.trainer | step   1000 | EVAL val/loss=3.7162 val/mrr=0.2576 val/recall@1=0.1265 val/recall@5=0.3948 val/recall@10=0.5366 val/mean_rank=19.8154
19:18:00 INFO    qar.training.trainer | new best val/recall@1=0.1265
19:18:52 INFO    qar.training.trainer | step   1100 | loss=3.7275 nce=3.7275 acc=0.1266 grad_norm=3.2655 lr=0.0003 steps_per_s=1.7830 mem/alloc_mib=6449.1396 mem/reserved_mib=7754.0000
19:19:43 INFO    qar.training.trainer | step   1200 | loss=3.6372 nce=3.6372 acc=0.1409 grad_norm=3.1627 lr=0.0003 steps_per_s=1.9541 mem/alloc_mib=6451.2905 mem/reserved_mib=7754.0000
19:20:34 INFO    qar.training.trainer | step   1300 | loss=3.5879 nce=3.5879 acc=0.1466 grad_norm=3.1713 lr=0.0003 steps_per_s=1.9776 mem/alloc_mib=6451.2905 mem/reserved_mib=7754.0000
19:21:24 INFO    qar.training.trainer | step   1400 | loss=3.5156 nce=3.5156 acc=0.1548 grad_norm=3.1383 lr=0.0003 steps_per_s=2.0008 mem/alloc_mib=6451.2905 mem/reserved_mib=7754.0000
19:22:15 INFO    qar.training.trainer | step   1500 | loss=3.4929 nce=3.4929 acc=0.1592 grad_norm=3.1580 lr=0.0003 steps_per_s=1.9374 mem/alloc_mib=6451.2905 mem/reserved_mib=7754.0000
19:23:06 INFO    qar.training.trainer | step   1600 | loss=3.4129 nce=3.4129 acc=0.1630 grad_norm=3.1063 lr=0.0003 steps_per_s=1.9608 mem/alloc_mib=6451.2905 mem/reserved_mib=7754.0000
19:23:56 INFO    qar.training.trainer | step   1700 | loss=3.3885 nce=3.3885 acc=0.1737 grad_norm=3.0445 lr=0.0003 steps_per_s=2.0063 mem/alloc_mib=6451.2905 mem/reserved_mib=7754.0000
19:24:46 INFO    qar.training.trainer | step   1800 | loss=3.3719 nce=3.3719 acc=0.1758 grad_norm=2.9533 lr=0.0003 steps_per_s=2.0205 mem/alloc_mib=6451.2905 mem/reserved_mib=7754.0000
19:25:37 INFO    qar.training.trainer | step   1900 | loss=3.3215 nce=3.3215 acc=0.1788 grad_norm=2.9367 lr=0.0003 steps_per_s=1.9570 mem/alloc_mib=6451.2905 mem/reserved_mib=7754.0000
19:26:26 INFO    qar.training.trainer | step   2000 | loss=3.3117 nce=3.3117 acc=0.1825 grad_norm=2.8810 lr=0.0003 steps_per_s=2.0226 mem/alloc_mib=6451.2905 mem/reserved_mib=7754.0000
19:26:30 INFO    qar.training.trainer | step   2000 | EVAL val/loss=3.2353 val/mrr=0.3428 val/recall@1=0.1907 val/recall@5=0.5229 val/recall@10=0.6646 val/mean_rank=13.8528
19:26:30 INFO    qar.training.trainer | new best val/recall@1=0.1907
19:27:22 INFO    qar.training.trainer | step   2100 | loss=3.2995 nce=3.2995 acc=0.1782 grad_norm=2.8513 lr=0.0003 steps_per_s=1.7997 mem/alloc_mib=6526.0908 mem/reserved_mib=7754.0000
19:28:11 INFO    qar.training.trainer | step   2200 | loss=3.2476 nce=3.2476 acc=0.1880 grad_norm=2.8474 lr=0.0003 steps_per_s=2.0120 mem/alloc_mib=6526.0908 mem/reserved_mib=7754.0000
19:29:01 INFO    qar.training.trainer | step   2300 | loss=3.2371 nce=3.2371 acc=0.1895 grad_norm=2.8130 lr=0.0003 steps_per_s=2.0259 mem/alloc_mib=6526.0908 mem/reserved_mib=7754.0000
19:29:51 INFO    qar.training.trainer | step   2400 | loss=3.2203 nce=3.2203 acc=0.1928 grad_norm=2.8007 lr=0.0003 steps_per_s=1.9940 mem/alloc_mib=6526.0908 mem/reserved_mib=7754.0000
19:30:41 INFO    qar.training.trainer | step   2500 | loss=3.1936 nce=3.1936 acc=0.1937 grad_norm=2.7523 lr=0.0003 steps_per_s=2.0013 mem/alloc_mib=6550.5273 mem/reserved_mib=7754.0000
19:31:31 INFO    qar.training.trainer | step   2600 | loss=3.1391 nce=3.1391 acc=0.2087 grad_norm=2.7404 lr=0.0003 steps_per_s=2.0005 mem/alloc_mib=6550.5273 mem/reserved_mib=7754.0000
19:32:21 INFO    qar.training.trainer | step   2700 | loss=3.1369 nce=3.1369 acc=0.2073 grad_norm=2.7483 lr=0.0003 steps_per_s=1.9922 mem/alloc_mib=6550.5273 mem/reserved_mib=7754.0000
19:33:11 INFO    qar.training.trainer | step   2800 | loss=3.1577 nce=3.1577 acc=0.2040 grad_norm=2.7450 lr=0.0003 steps_per_s=2.0108 mem/alloc_mib=6550.5273 mem/reserved_mib=7754.0000
19:34:01 INFO    qar.training.trainer | step   2900 | loss=3.1265 nce=3.1265 acc=0.2042 grad_norm=2.6977 lr=0.0003 steps_per_s=2.0043 mem/alloc_mib=6550.5273 mem/reserved_mib=7754.0000
19:34:50 INFO    qar.training.trainer | step   3000 | loss=3.0886 nce=3.0886 acc=0.2147 grad_norm=2.6787 lr=0.0003 steps_per_s=2.0179 mem/alloc_mib=6550.5273 mem/reserved_mib=7754.0000
19:34:54 INFO    qar.training.trainer | step   3000 | EVAL val/loss=3.0199 val/mrr=0.3814 val/recall@1=0.2197 val/recall@5=0.5762 val/recall@10=0.7117 val/mean_rank=11.8660
19:34:54 INFO    qar.training.trainer | new best val/recall@1=0.2197
19:35:42 INFO    qar.training.trainer | step   3100 | loss=3.0793 nce=3.0793 acc=0.2171 grad_norm=2.6748 lr=0.0003 steps_per_s=1.9141 mem/alloc_mib=6550.5273 mem/reserved_mib=7754.0000
19:36:32 INFO    qar.training.trainer | step   3200 | loss=3.0308 nce=3.0308 acc=0.2172 grad_norm=2.6362 lr=0.0003 steps_per_s=2.0198 mem/alloc_mib=6550.5273 mem/reserved_mib=7754.0000
19:37:21 INFO    qar.training.trainer | step   3300 | loss=3.0310 nce=3.0310 acc=0.2230 grad_norm=2.6816 lr=0.0003 steps_per_s=2.0265 mem/alloc_mib=6550.5273 mem/reserved_mib=7754.0000
19:38:12 INFO    qar.training.trainer | step   3400 | loss=3.0117 nce=3.0117 acc=0.2198 grad_norm=2.6411 lr=0.0003 steps_per_s=1.9759 mem/alloc_mib=6550.5273 mem/reserved_mib=7754.0000
19:39:01 INFO    qar.training.trainer | step   3500 | loss=3.0239 nce=3.0239 acc=0.2170 grad_norm=2.5964 lr=0.0003 steps_per_s=2.0484 mem/alloc_mib=6550.5273 mem/reserved_mib=7754.0000
19:39:51 INFO    qar.training.trainer | step   3600 | loss=2.9991 nce=2.9991 acc=0.2242 grad_norm=2.5642 lr=0.0003 steps_per_s=1.9863 mem/alloc_mib=6550.5273 mem/reserved_mib=7754.0000
19:40:40 INFO    qar.training.trainer | step   3700 | loss=2.9953 nce=2.9953 acc=0.2270 grad_norm=2.5852 lr=0.0003 steps_per_s=2.0269 mem/alloc_mib=6550.5273 mem/reserved_mib=7754.0000
19:41:29 INFO    qar.training.trainer | step   3800 | loss=2.9730 nce=2.9730 acc=0.2332 grad_norm=2.5617 lr=0.0002 steps_per_s=2.0426 mem/alloc_mib=6550.5273 mem/reserved_mib=7754.0000
19:42:17 INFO    qar.training.trainer | step   3900 | loss=2.9780 nce=2.9780 acc=0.2319 grad_norm=2.5316 lr=0.0002 steps_per_s=2.0805 mem/alloc_mib=6550.5273 mem/reserved_mib=7754.0000
19:43:06 INFO    qar.training.trainer | step   4000 | loss=2.9305 nce=2.9305 acc=0.2288 grad_norm=2.5045 lr=0.0002 steps_per_s=2.0708 mem/alloc_mib=6550.5273 mem/reserved_mib=7754.0000
19:43:09 INFO    qar.training.trainer | step   4000 | EVAL val/loss=2.8905 val/mrr=0.4005 val/recall@1=0.2305 val/recall@5=0.6130 val/recall@10=0.7473 val/mean_rank=10.7427
19:43:10 INFO    qar.training.trainer | new best val/recall@1=0.2305
19:44:00 INFO    qar.training.trainer | step   4100 | loss=2.9151 nce=2.9151 acc=0.2389 grad_norm=2.5509 lr=0.0002 steps_per_s=1.8563 mem/alloc_mib=6550.5273 mem/reserved_mib=7754.0000
19:44:49 INFO    qar.training.trainer | step   4200 | loss=2.9301 nce=2.9301 acc=0.2384 grad_norm=2.5065 lr=0.0002 steps_per_s=2.0278 mem/alloc_mib=6550.5273 mem/reserved_mib=7754.0000
