20:53:30 INFO    train | config: configs\retriever.yaml + ['name=retriever_hn2_mt05', 'data.batch_size=128', 'loss.hard_negatives=2', 'loss.answerable_weight=0.5', 'train.max_steps=12000']
20:53:34 INFO    qar.training.trainer | run 'retriever_hn2_mt05' | device=cuda (NVIDIA GeForce RTX 5060 Laptop GPU, 8.0 GiB, sm_120) amp=bfloat16
20:53:34 INFO    qar.training.trainer | trainable parameters: 45.97M
20:53:34 INFO    qar.tasks.retriever | dedup sampler on: 704201 rows, 638306 distinct questions
20:54:06 INFO    qar.training.trainer | step    100 | loss=5.2427 nce=4.9085 acc=0.0103 ans_bce=0.6684 grad_norm=2.8254 lr=0.0000 steps_per_s=3.1960 mem/alloc_mib=6425.5386 mem/reserved_mib=7754.0000
20:54:36 INFO    qar.training.trainer | step    200 | loss=5.1032 nce=4.7763 acc=0.0204 ans_bce=0.6538 grad_norm=1.9482 lr=0.0001 steps_per_s=3.3282 mem/alloc_mib=6425.5386 mem/reserved_mib=7754.0000
20:55:06 INFO    qar.training.trainer | step    300 | loss=4.9908 nce=4.6695 acc=0.0307 ans_bce=0.6426 grad_norm=2.6883 lr=0.0001 steps_per_s=3.2668 mem/alloc_mib=6425.5386 mem/reserved_mib=7754.0000
20:55:37 INFO    qar.training.trainer | step    400 | loss=4.8454 nce=4.5236 acc=0.0416 ans_bce=0.6437 grad_norm=3.6475 lr=0.0002 steps_per_s=3.2508 mem/alloc_mib=6425.5386 mem/reserved_mib=7754.0000
20:56:08 INFO    qar.training.trainer | step    500 | loss=4.7310 nce=4.4069 acc=0.0508 ans_bce=0.6482 grad_norm=4.0108 lr=0.0002 steps_per_s=3.2307 mem/alloc_mib=6449.2412 mem/reserved_mib=7754.0000
20:56:39 INFO    qar.training.trainer | step    600 | loss=4.5832 nce=4.2621 acc=0.0637 ans_bce=0.6422 grad_norm=3.8315 lr=0.0003 steps_per_s=3.2656 mem/alloc_mib=6449.2412 mem/reserved_mib=7754.0000
20:57:09 INFO    qar.training.trainer | step    700 | loss=4.4516 nce=4.1338 acc=0.0788 ans_bce=0.6356 grad_norm=3.6460 lr=0.0003 steps_per_s=3.2689 mem/alloc_mib=6449.2412 mem/reserved_mib=7754.0000
20:57:40 INFO    qar.training.trainer | step    800 | loss=4.3420 nce=4.0272 acc=0.0942 ans_bce=0.6296 grad_norm=3.5601 lr=0.0003 steps_per_s=3.2577 mem/alloc_mib=6449.2412 mem/reserved_mib=7754.0000
20:58:11 INFO    qar.training.trainer | step    900 | loss=4.1959 nce=3.8809 acc=0.1062 ans_bce=0.6300 grad_norm=3.4678 lr=0.0003 steps_per_s=3.2500 mem/alloc_mib=6449.2412 mem/reserved_mib=7754.0000
20:58:41 INFO    qar.training.trainer | step   1000 | loss=4.1185 nce=3.8049 acc=0.1141 ans_bce=0.6272 grad_norm=3.4163 lr=0.0003 steps_per_s=3.2498 mem/alloc_mib=6449.2412 mem/reserved_mib=7754.0000
20:58:45 INFO    qar.training.trainer | step   1000 | EVAL val/loss=3.7060 val/mrr=0.2623 val/recall@1=0.1323 val/recall@5=0.3992 val/recall@10=0.5383 val/mean_rank=19.7300 val/ans_bce=0.5962 val/ans_acc=0.6965 val/ans_precision=0.7078 val/ans_recall=0.9142 val/ans_f1=0.7971
20:58:45 INFO    qar.training.trainer | new best val/recall@1=0.1323
20:59:17 INFO    qar.training.trainer | step   1100 | loss=4.0336 nce=3.7218 acc=0.1266 ans_bce=0.6236 grad_norm=3.3500 lr=0.0003 steps_per_s=2.8073 mem/alloc_mib=6449.2412 mem/reserved_mib=7754.0000
20:59:48 INFO    qar.training.trainer | step   1200 | loss=3.9442 nce=3.6314 acc=0.1392 ans_bce=0.6255 grad_norm=3.2298 lr=0.0003 steps_per_s=3.2071 mem/alloc_mib=6451.3921 mem/reserved_mib=7754.0000
21:00:19 INFO    qar.training.trainer | step   1300 | loss=3.8845 nce=3.5719 acc=0.1523 ans_bce=0.6251 grad_norm=3.2817 lr=0.0003 steps_per_s=3.2419 mem/alloc_mib=6451.3921 mem/reserved_mib=7754.0000
